 	U+0020 (alt-032)	SPACE
Ρ  	U+03A1 (alt-0929)	GREEK CAPITAL LETTER RHO
Σ  	U+03A3 (alt-0931)	GREEK CAPITAL LETTER SIGMA
Τ  	U+03A4 (alt-0932)	GREEK CAPITAL LETTER TAU
Υ  	U+03A5 (alt-0933)	GREEK CAPITAL LETTER UPSILON
Φ  	U+03A6 (alt-0934)	GREEK CAPITAL LETTER PHI
Χ  	U+03A7 (alt-0935)	GREEK CAPITAL LETTER CHI
Ψ  	U+03A8 (alt-0936)	GREEK CAPITAL LETTER PSI
Ω  	U+03A9 (alt-0937)	GREEK CAPITAL LETTER OMEGA
α  	U+03B1 (alt-0945)	GREEK SMALL LETTER ALPHA
β  	U+03B2 (alt-0946)	GREEK SMALL LETTER BETA
γ  	U+03B3 (alt-0947)	GREEK SMALL LETTER GAMMA
δ  	U+03B4 (alt-0948)	GREEK SMALL LETTER DELTA
ε  	U+03B5 (alt-0949)	GREEK SMALL LETTER EPSILON
ζ  	U+03B6 (alt-0950)	GREEK SMALL LETTER ZETA
η  	U+03B7 (alt-0951)	GREEK SMALL LETTER ETA
θ  	U+03B8 (alt-0952)	GREEK SMALL LETTER THETA
ι  	U+03B9 (alt-0953)	GREEK SMALL LETTER IOTA
κ  	U+03BA (alt-0954)	GREEK SMALL LETTER KAPPA
λ  	U+03BB (alt-0955)	GREEK SMALL LETTER LAMDA = lambda
μ  	U+03BC (alt-0956)	GREEK SMALL LETTER MU
ν  	U+03BD (alt-0957)	GREEK SMALL LETTER NU
ξ  	U+03BE (alt-0958)	GREEK SMALL LETTER XI
ο  	U+03BF (alt-0959)	GREEK SMALL LETTER OMICRON
π  	U+03C0 (alt-0960)	GREEK SMALL LETTER PI
ρ  	U+03C1 (alt-0961)	GREEK SMALL LETTER RHO
ς  	U+03C2 (alt-0962)	GREEK SMALL LETTER FINAL SIGMA = stigma (the Modern Greek name for this letterform)
σ  	U+03C3 (alt-0963)	GREEK SMALL LETTER SIGMA
τ  	U+03C4 (alt-0964)	GREEK SMALL LETTER TAU
υ  	U+03C5 (alt-0965)	GREEK SMALL LETTER UPSILON
φ  	U+03C6 (alt-0966)	GREEK SMALL LETTER PHI
χ  	U+03C7 (alt-0967)	GREEK SMALL LETTER CHI
ψ  	U+03C8 (alt-0968)	GREEK SMALL LETTER PSI
ω  	U+03C9 (alt-0969)	GREEK SMALL LETTER OMEGA
А  	U+0410 (alt-01040)	CYRILLIC CAPITAL LETTER A
Б  	U+0411 (alt-01041)	CYRILLIC CAPITAL LETTER BE
В  	U+0412 (alt-01042)	CYRILLIC CAPITAL LETTER VE
Г  	U+0413 (alt-01043)	CYRILLIC CAPITAL LETTER GHE
Д  	U+0414 (alt-01044)	CYRILLIC CAPITAL LETTER DE
